sh600392,600392,盛和资源,9.140,-0.2,-2.141
sh600395,600395,盘江股份,5.430,-0.04,-0.731
sh600398,600398,海澜之家,6.130,-0.07,-1.129
sh600399,600399,抚顺特钢,7.070,0.63,9.783
sh600400,600400,红豆股份,2.180,-0.07,-3.111
sh600403,600403,大有能源,2.940,-0.04,-1.342
sh600406,600406,国电南瑞,25.760,-0.23,-0.885
sh600409,600409,三友化工,5.490,-0.16,-2.832
sh600410,600410,华胜天成,5.260,0.06,1.154
sh600415,600415,小商品城,11.040,0.49,4.645
sh600416,600416,湘电股份,11.510,-0.05,-0.433
sh600418,600418,江淮汽车,30.450,1.42,4.891
sh600420,600420,国药现代,11.740,-0.09,-0.761
sh600422,600422,昆药集团,13.600,-0.22,-1.592
sh600425,600425,青松建化,3.640,-0.11,-2.933
sh600426,600426,华鲁恒升,22.570,-0.56,-2.421
sh600428,600428,中远海特,6.370,-0.17,-2.599
sh600429,600429,三元股份,4.130,-0.04,-0.959
sh600433,600433,冠豪高新,2.970,-0.03,-1
sh600435,600435,北方导航,10.510,-0.07,-0.662
sh600436,600436,片仔癀,223.150,-3.25,-1.436
sh600438,600438,通威股份,20.030,-0.74,-3.563
sh600446,600446,金证股份,13.070,-0.15,-1.135
sh600449,600449,宁夏建材,12.520,-0.54,-4.135
sh600452,600452,涪陵电力,9.910,-0.5,-4.803
sh600456,600456,宝钛股份,30.810,-0.08,-0.259
sh600458,600458,时代新材,9.680,-0.22,-2.222
sh600459,600459,贵研铂业,13.550,-0.2,-1.455
sh600460,600460,士兰微,24.320,-0.18,-0.735
sh600461,600461,洪城环境,9.500,-0.22,-2.263
sh600468,600468,百利电气,4.270,-0.03,-0.698
sh600475,600475,华光环能,8.960,-0.17,-1.862
sh600477,600477,杭萧钢构,2.510,-0.07,-2.713
sh600478,600478,科力远,3.730,-0.07,-1.842
sh600480,600480,凌云股份,8.480,-0.13,-1.51
sh600481,600481,双良节能,4.160,-0.09,-2.118
sh600482,600482,中国动力,22.070,-1.12,-4.83
sh600483,600483,福能股份,9.310,-0.19,-2
sh600486,600486,扬农化工,56.440,-1.16,-2.014
sh600487,600487,亨通光电,16.520,0.16,0.978
sh600488,600488,津药药业,4.080,-0.06,-1.449
sh600489,600489,中金黄金,14.150,-0.22,-1.531
sh600490,600490,鹏欣资源,2.810,-0.03,-1.056
sh600491,600491,龙元建设,3.200,-0.1,-3.03
sh600496,600496,精工钢构,2.720,-0.07,-2.509
sh600497,600497,驰宏锌锗,5.440,-0.11,-1.982
sh600498,600498,烽火通信,16.380,0.22,1.361
sh600499,600499,科达制造,7.220,-0.28,-3.733
sh600500,600500,中化国际,4.140,-0.12,-2.817
sh600501,600501,航天晨光,17.560,0.52,3.052
sh600502,600502,安徽建工,4.900,-0.16,-3.162
sh600507,600507,方大特钢,4.180,-0.01,-0.239
sh600508,600508,上海能源,12.890,-0.17,-1.302
sh600509,600509,天富能源,5.790,-0.01,-0.172
sh600510,600510,黑牡丹,4.510,-0.23,-4.852
sh600511,600511,国药股份,32.210,-0.67,-2.038
sh600515,600515,海南机场,3.300,-0.12,-3.509
sh600516,600516,方大炭素,5.020,-0.09,-1.761
sh600517,600517,国网英大,5.140,-0.04,-0.772
sh600518,600518,康美药业,1.800,-0.04,-2.174
sh600519,600519,贵州茅台,1494.600,-27.9,-1.833
sh600521,600521,华海药业,18.070,-0.2,-1.095
sh600522,600522,中天科技,14.620,0.26,1.811
sh600523,600523,贵航股份,12.180,-0.03,-0.246
sh600525,600525,长园集团,5.050,0.09,1.815
sh600528,600528,中铁工业,7.970,-0.16,-1.968
sh600529,600529,山东药玻,26.710,-0.42,-1.548
sh600531,600531,豫光金铅,6.760,-0.12,-1.744
sh600535,600535,天士力,14.890,-0.15,-0.997
sh600536,600536,中国软件,40.440,0.78,1.967
sh600537,600537,亿晶光电,2.690,-0.03,-1.103
sh600546,600546,山煤国际,12.900,-0.26,-1.976
sh600547,600547,山东黄金,27.710,-0.34,-1.212
sh600548,600548,深高速,10.010,-0.17,-1.67
sh600549,600549,厦门钨业,18.790,-0.41,-2.135
sh600550,600550,保变电气,10.100,-0.76,-6.998
sh600551,600551,时代出版,8.420,-0.03,-0.355
sh600552,600552,凯盛科技,12.230,0.33,2.773
sh600556,600556,天下秀,4.160,-0.02,-0.478
sh600557,600557,康缘药业,13.460,-0.18,-1.32
sh600559,600559,老白干酒,19.770,-0.18,-0.902
sh600562,600562,国睿科技,15.640,0.19,1.23
sh600563,600563,法拉电子,105.810,0.05,0.047
sh600566,600566,济川药业,29.180,0.11,0.378
sh600567,600567,山鹰国际,1.560,-0.03,-1.887
sh600569,600569,安阳钢铁,1.610,-0.05,-3.012
sh600570,600570,恒生电子,25.760,0.18,0.704
sh600571,600571,信雅达,11.910,0.31,2.672
sh600572,600572,康恩贝,4.460,-0.03,-0.668
sh600575,600575,淮河能源,3.650,-0.13,-3.439
sh600576,600576,祥源文旅,5.430,-0.01,-0.184
sh600577,600577,精达股份,5.690,0.35,6.554
